date,department,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/5/2015,finishing ,1,0.8,3.94,,1920,0,0.0,0,0,8.0,0.961059028
3/9/2015,sweing,11,0.8,11.41,357.0,3420,50,0.0,0,0,58.0,0.800034503
1/22/2015,sweing,3,0.7,22.52,1244.0,10260,63,0.0,0,0,57.0,0.750068049
1/7/2015,sweing,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721
1/6/2015,sweing,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721
2/22/2015,finishing,12,0.8,5.13,,2400,0,0.0,0,0,10.0,0.78375
1/21/2015,sweing,8,0.8,25.9,562.0,7470,38,0.0,0,0,56.5,0.800436542
1/11/2015,sweing,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766
3/3/2015,sweing,6,0.75,20.2,402.0,3120,45,0.0,0,0,33.0,0.750212553
1/8/2015,finishing ,3,0.75,4.15,,2160,0,0.0,0,0,12.0,0.712626263
1/31/2015,finishing ,3,0.8,3.94,,960,0,0.0,0,0,8.0,0.971866667
2/24/2015,sweing,11,0.75,11.61,698.0,3360,34,0.0,0,2,57.0,0.750437269
2/28/2015,sweing,6,0.75,18.79,1012.0,3960,45,0.0,0,0,33.0,0.75065101
2/1/2015,sweing,10,0.8,22.52,1282.0,6720,75,0.0,0,0,56.0,0.850532143
1/19/2015,sweing,9,0.8,26.16,1196.0,10620,63,0.0,0,0,59.0,0.800117103
2/10/2015,sweing,12,0.8,15.26,900.0,4080,50,0.0,0,0,34.0,0.800401961
3/10/2015,sweing,10,0.75,21.82,1499.0,6000,34,0.0,0,0,50.0,0.750608
3/4/2015,sweing,7,0.8,30.1,874.0,3960,50,0.0,0,0,59.0,0.800055762
2/15/2015,finishing,4,0.75,4.15,,2400,0,0.0,0,0,20.0,0.287041667
2/1/2015,finishing ,4,0.8,4.3,,1440,0,0.0,0,0,12.0,0.845069444
2/7/2015,sweing,12,0.8,15.26,1021.0,4080,63,0.0,0,0,34.0,0.800401961
3/11/2015,sweing,11,0.8,11.41,560.0,3420,50,0.0,0,0,58.0,0.800034503
3/5/2015,sweing,11,0.8,11.41,455.0,3420,50,0.0,0,0,56.0,0.800701754
1/29/2015,sweing,2,0.8,22.52,1416.0,6840,113,0.0,0,0,57.0,1.000230409
3/7/2015,sweing,12,0.8,15.26,986.0,4080,75,0.0,0,0,34.0,0.850520588
3/1/2015,sweing,3,0.75,29.4,1143.0,6840,45,0.0,0,0,57.0,0.750473684
3/8/2015,finishing,8,0.6,3.9,,960,0,0.0,0,0,8.0,0.4509375
1/6/2015,sweing,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800140969
1/21/2015,finishing ,4,0.75,4.3,,6000,0,0.0,0,0,20.0,0.978525641
2/26/2015,finishing,3,0.8,4.6,,6300,0,0.0,0,0,15.0,0.921703704
2/11/2015,finishing,9,0.8,3.94,,960,0,0.0,0,0,8.0,0.54175
1/12/2015,finishing ,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939
2/22/2015,sweing,5,0.8,30.1,450.0,5700,0,4.5,25,0,60.0,0.307501459
3/1/2015,sweing,4,0.6,26.66,692.0,6840,23,0.0,0,0,57.0,0.600239766
3/11/2015,finishing,9,0.75,2.9,,1800,0,0.0,0,0,15.0,0.505888889
1/7/2015,finishing ,6,0.8,2.9,,1800,0,0.0,0,0,10.0,0.666515152
2/26/2015,sweing,1,0.35,26.66,1164.0,6600,23,0.0,0,2,55.0,0.378895152
1/26/2015,sweing,3,0.75,22.52,1584.0,10260,69,0.0,0,0,57.0,0.80035194
2/18/2015,finishing,3,0.5,5.13,,960,0,0.0,0,0,8.0,0.2565
2/2/2015,sweing,10,0.8,22.52,21540.0,6720,88,0.0,0,0,56.0,0.900129762
2/14/2015,sweing,6,0.8,18.79,822.0,4080,0,0.0,0,0,34.0,0.557252451
1/1/2015,sweing,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492
1/8/2015,sweing,5,0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.233705476
2/23/2015,sweing,9,0.7,18.79,1641.0,6000,40,0.0,0,1,50.0,0.60128
2/17/2015,finishing,12,0.8,5.13,,1080,0,0.0,0,0,9.0,0.9025
2/4/2015,finishing ,12,0.8,4.08,,1080,0,0.0,0,0,9.0,0.687555556
1/22/2015,sweing,1,0.7,22.94,1384.0,12180,63,0.0,0,0,57.0,0.750162367
2/25/2015,sweing,4,0.8,30.1,323.0,4080,50,0.0,0,1,59.0,0.800808642
1/18/2015,sweing,11,0.65,14.89,1140.0,10260,44,0.0,0,0,57.0,0.650299575
1/17/2015,sweing,10,0.65,22.52,1163.0,9720,35,0.0,0,0,54.0,0.650198653
1/11/2015,finishing ,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.873068182
1/12/2015,sweing,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167
2/3/2015,finishing ,1,0.8,3.94,,1200,0,0.0,0,0,10.0,0.99485
1/13/2015,finishing ,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.670075758
1/29/2015,finishing ,10,0.8,3.94,,1200,0,0.0,0,0,10.0,0.85695
1/22/2015,finishing ,8,0.8,2.9,,4800,0,0.0,0,0,8.0,0.397743056
1/12/2015,sweing,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766
3/3/2015,sweing,3,0.8,29.4,1156.0,6840,50,0.0,0,0,57.0,0.800333333
1/10/2015,sweing,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813
1/27/2015,sweing,12,0.7,15.26,1462.0,4080,40,0.0,0,0,34.0,0.700164706
2/10/2015,sweing,2,0.8,22.52,1512.0,0,88,0.0,0,0,57.0,0.899984058
1/8/2015,finishing ,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606
2/3/2015,finishing ,4,0.8,4.3,,1440,0,0.0,0,0,12.0,0.5375
1/14/2015,finishing ,4,0.35,4.3,,2700,0,0.0,0,0,8.0,0.908080808
1/6/2015,finishing ,3,0.75,4.15,,1800,0,0.0,0,0,10.0,0.899166667
3/8/2015,sweing,9,0.75,18.79,1239.0,5640,45,0.0,0,0,52.0,0.750371895
2/16/2015,sweing,9,0.6,18.79,2103.0,5400,0,0.0,0,1,54.0,0.329964879
1/3/2015,finishing ,4,0.8,4.15,,6600,0,0.0,0,0,20.0,0.988024691
1/19/2015,finishing ,12,0.8,2.9,,1440,0,0.0,0,0,8.0,0.793844697
1/25/2015,sweing,7,0.7,22.52,360.0,10170,40,0.0,0,0,56.5,0.7005417
2/7/2015,finishing,9,0.8,3.94,,960,0,0.0,0,0,8.0,0.771583333
1/10/2015,finishing ,4,0.8,3.94,,6000,0,0.0,0,0,20.0,0.911589744
2/8/2015,sweing,11,0.75,10.05,629.0,3240,45,0.0,0,0,27.0,0.750027778
2/15/2015,sweing,4,0.75,30.1,919.0,7140,0,0.0,0,1,59.5,0.598627451
2/22/2015,finishing,1,0.8,3.94,,2880,0,0.0,0,0,12.0,0.727349537
1/5/2015,sweing,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246011
1/28/2015,sweing,2,0.8,22.52,1559.0,6840,90,0.0,0,0,57.0,1.000230409
1/20/2015,sweing,12,0.5,15.26,1352.0,3720,23,0.0,0,0,34.0,0.500290419
3/4/2015,sweing,5,0.7,27.48,586.0,6960,40,0.0,0,0,58.0,0.700424138
2/16/2015,finishing,6,0.8,2.9,,960,0,0.0,0,0,8.0,0.773333333
2/14/2015,finishing,1,0.8,3.94,,1440,0,0.0,0,0,12.0,0.796208333
1/6/2015,finishing ,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.805909091
1/31/2015,finishing ,8,0.65,3.94,,960,0,0.0,0,0,8.0,0.971866667
2/15/2015,sweing,2,0.8,22.52,12.0,6900,0,0.0,0,0,57.5,0.432122899
1/19/2015,finishing ,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.683806818
3/11/2015,finishing,11,0.8,2.9,,2400,0,0.0,0,0,10.0,0.874027778
1/15/2015,sweing,7,0.8,25.9,1281.0,10170,60,0.0,0,0,56.5,0.850136766
3/4/2015,sweing,8,0.8,29.4,30.0,6840,0,0.0,0,0,57.0,0.433263158
1/18/2015,sweing,8,0.8,25.9,1288.0,10170,38,0.0,0,0,56.5,0.800128721
2/26/2015,sweing,5,0.35,27.48,413.0,6840,38,0.0,0,1,57.0,0.449964912
2/8/2015,sweing,5,0.7,30.1,754.0,7020,0,0.0,0,0,58.5,0.700618234
2/24/2015,sweing,7,0.75,30.1,739.0,5640,45,0.0,0,1,59.0,0.750727326
3/8/2015,sweing,11,0.8,11.41,313.0,3420,50,0.0,0,0,58.0,0.800034503
2/26/2015,finishing,1,0.5,3.94,,3360,0,0.0,0,0,8.0,0.768847222
1/3/2015,sweing,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644
2/8/2015,sweing,9,0.8,29.12,909.0,6960,50,0.0,0,0,58.0,0.799963218
3/10/2015,sweing,9,0.75,18.79,1247.0,6240,45,0.0,0,0,52.0,0.750395513
3/8/2015,finishing,3,0.8,4.6,,1440,0,0.0,0,0,12.0,0.951944444
1/27/2015,finishing ,1,0.75,3.94,,1200,0,0.0,0,0,10.0,0.77815
2/9/2015,finishing,6,0.75,2.9,,960,0,0.0,0,0,8.0,0.888125
2/12/2015,sweing,11,0.5,11.41,1039.0,2280,0,0.0,0,2,55.0,0.50012336
1/8/2015,sweing,4,0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.850181818
2/26/2015,finishing,9,0.75,2.9,,960,0,0.0,0,0,8.0,0.4078125
3/11/2015,sweing,6,0.7,23.41,1128.0,4560,40,0.0,0,1,38.0,0.700246491
2/18/2015,finishing,12,0.8,5.13,,1200,0,0.0,0,0,10.0,0.9918
1/29/2015,sweing,10,0.8,22.52,1088.0,6720,88,0.0,0,0,56.0,0.900129762
1/27/2015,sweing,2,0.75,22.52,1635.0,6840,119,0.0,0,0,57.0,1.000230409
1/26/2015,sweing,5,0.75,20.4,1118.0,10320,56,0.0,0,0,58.0,0.750031447
2/8/2015,finishing,1,0.8,3.94,,1200,0,0.0,0,0,10.0,0.893066667
2/26/2015,sweing,9,0.75,18.79,1020.0,5640,45,0.0,0,1,52.0,0.750371895
2/17/2015,finishing,9,0.8,3.94,,960,0,0.0,0,0,8.0,0.586041667
2/11/2015,sweing,4,0.7,30.1,667.0,5940,40,0.0,0,1,59.5,0.700588406
2/28/2015,finishing,12,0.8,4.6,,3780,0,0.0,0,0,9.0,0.590617284
1/14/2015,finishing ,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939
2/2/2015,finishing ,8,0.65,4.15,,960,0,0.0,0,0,8.0,0.561979167
1/19/2015,sweing,6,0.8,11.41,1028.0,4380,50,0.0,0,0,31.0,0.800358775
1/27/2015,sweing,8,0.65,15.09,976.0,240,23,0.0,0,0,52.0,0.650307143
1/12/2015,finishing ,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.955151515
2/25/2015,finishing,5,0.8,4.6,,1080,0,0.0,0,0,9.0,0.902962963
1/24/2015,sweing,11,0.75,42.97,1282.0,10260,56,0.0,0,0,57.0,0.750041201
3/4/2015,finishing,8,0.8,4.6,,960,0,0.0,0,0,8.0,0.930416667
1/24/2015,finishing ,7,0.65,3.94,,2160,0,0.0,0,0,12.0,0.870580808
2/9/2015,sweing,4,0.7,30.1,767.0,3300,50,0.0,0,1,57.0,0.790003236
1/21/2015,sweing,6,0.8,11.61,916.0,5760,75,0.0,0,0,89.0,0.850410511
3/5/2015,sweing,5,0.7,27.48,230.0,6960,40,0.0,0,0,58.0,0.700424138
2/12/2015,finishing,5,0.7,4.15,,240,0,0.0,0,0,2.0,0.58
1/18/2015,sweing,7,0.8,48.84,624.0,10170,50,0.0,0,0,56.5,0.800128721
1/5/2015,sweing,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492
1/13/2015,finishing ,4,0.35,4.3,,2160,0,0.0,0,0,12.0,0.952020202
1/26/2015,sweing,1,0.7,22.94,1745.0,10440,60,0.0,0,0,58.0,0.800023511
1/5/2015,finishing ,7,0.8,3.94,,960,0,0.0,0,0,8.0,0.676666667
2/15/2015,sweing,3,0.6,30.1,1361.0,6960,30,0.0,0,1,58.0,0.475718391
1/29/2015,sweing,11,0.6,20.1,1601.0,4320,46,0.0,0,0,51.0,0.60059761
3/11/2015,sweing,4,0.75,26.82,1054.0,7080,45,0.0,0,0,59.0,0.750050847
2/23/2015,sweing,3,0.7,29.4,1228.0,6960,30,0.0,0,2,58.0,0.700362069
1/25/2015,finishing ,4,0.75,4.3,,2160,0,0.0,0,0,12.0,0.952020202
1/6/2015,finishing ,4,0.8,3.94,,4440,0,0.0,0,0,18.0,0.966781346
2/24/2015,sweing,12,0.8,15.26,1062.0,4080,50,0.0,0,0,34.0,0.800401961
1/26/2015,finishing ,4,0.75,4.3,,2160,0,0.0,0,0,12.0,0.963699495
2/5/2015,sweing,2,0.8,22.52,1300.0,6780,113,0.0,0,0,56.5,1.000446018
1/1/2015,sweing,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944
3/4/2015,finishing,2,0.5,3.9,,960,0,0.0,0,0,8.0,0.5403125
2/17/2015,finishing,4,0.75,5.13,,960,0,0.0,0,0,8.0,0.656666667
2/5/2015,sweing,1,0.8,22.52,1485.0,6900,113,0.0,0,0,57.5,1.000018551
3/11/2015,sweing,9,0.75,18.79,290.0,5040,45,0.0,0,0,52.0,0.750347333
1/8/2015,finishing ,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.947689394
1/8/2015,sweing,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932
1/1/2015,finishing ,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865
1/5/2015,finishing ,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.664583333
2/4/2015,sweing,4,0.35,30.1,287.0,6060,23,150.0,15,0,55.5,0.350706422
1/21/2015,sweing,4,0.75,22.52,825.0,10080,94,0.0,0,0,56.0,0.900556277
1/15/2015,finishing ,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939
2/5/2015,sweing,5,0.7,30.1,557.0,6960,0,0.0,0,0,58.0,0.562212644
1/22/2015,sweing,10,0.75,22.52,1328.0,10080,55,0.0,0,0,56.0,0.800020563
2/19/2015,sweing,4,0.8,30.1,859.0,7020,63,0.0,0,1,58.5,0.800094017
1/10/2015,sweing,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.800117103
1/4/2015,sweing,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199
1/3/2015,sweing,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125
1/29/2015,finishing ,4,0.8,4.3,,1200,0,0.0,0,0,10.0,0.989
1/11/2015,sweing,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311
1/10/2015,finishing ,5,0.5,4.15,,1440,0,0.0,0,0,8.0,0.337973485
2/24/2015,finishing,11,0.7,2.9,,960,0,0.0,0,0,8.0,0.5046875
2/28/2015,sweing,9,0.75,18.79,841.0,6240,45,0.0,0,1,52.0,0.750395513
1/4/2015,finishing ,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.682708333
1/27/2015,finishing ,12,0.7,4.15,,1080,0,0.0,0,0,9.0,0.823555556
1/12/2015,sweing,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783
2/7/2015,sweing,8,0.7,24.26,652.0,6840,0,300.0,37,0,57.0,0.365318713
1/4/2015,finishing ,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.667604167
3/11/2015,sweing,10,0.75,21.82,1674.0,6000,34,0.0,0,0,50.0,0.750608
3/8/2015,sweing,2,0.7,16.1,928.0,4800,30,0.0,0,1,45.0,0.700106061
2/23/2015,sweing,5,0.8,30.1,541.0,7140,38,0.0,0,0,59.0,0.800137255
2/11/2015,finishing,2,0.8,3.94,,2160,0,0.0,0,0,18.0,0.912037037
2/11/2015,sweing,10,0.8,22.52,598.0,0,75,0.0,0,0,56.0,0.850364583
1/13/2015,sweing,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59.0,0.850502311
1/6/2015,sweing,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455
1/19/2015,sweing,3,0.7,22.52,1095.0,10170,50,0.0,0,0,56.5,0.750062751
2/14/2015,finishing,8,0.7,4.15,,960,0,0.0,0,0,8.0,0.725625
1/7/2015,sweing,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466
3/1/2015,finishing,3,0.8,4.6,,10500,0,0.0,0,0,25.0,0.936355556
3/9/2015,sweing,9,0.75,18.79,1193.0,6240,45,0.0,0,0,52.0,0.750395513
1/31/2015,sweing,6,0.6,18.79,799.0,3960,23,0.0,0,0,33.0,0.600710606
1/7/2015,sweing,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831
1/14/2015,sweing,11,0.35,14.61,838.0,7200,23,0.0,0,0,55.0,0.35003125
2/9/2015,finishing,2,0.8,3.94,,2160,0,0.0,0,0,18.0,1.057962963
2/5/2015,finishing,6,0.7,2.9,,960,0,0.0,0,0,8.0,0.9425
3/8/2015,finishing,6,0.6,2.9,,960,0,0.0,0,0,8.0,0.271875
2/15/2015,sweing,1,0.8,22.52,1420.0,6840,113,0.0,0,0,57.0,1.000230409
2/26/2015,sweing,11,0.8,11.61,816.0,2820,50,0.0,0,2,57.0,0.800516667
1/8/2015,sweing,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766
2/25/2015,sweing,3,0.75,29.4,1283.0,6960,45,0.0,0,2,58.0,0.750206897
2/19/2015,sweing,6,0.75,18.79,899.0,3960,56,0.0,0,0,33.0,0.75065101
3/10/2015,sweing,6,0.7,23.41,1180.0,4560,30,0.0,0,1,38.0,0.700246491
2/1/2015,finishing ,7,0.7,3.94,,2160,0,0.0,0,0,18.0,0.892194444
3/2/2015,sweing,6,0.75,18.79,947.0,2880,34,0.0,0,0,33.0,0.750797009
1/1/2015,sweing,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478
1/12/2015,sweing,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657
1/21/2015,sweing,10,0.7,22.52,1206.0,10080,75,0.0,0,0,56.0,0.800020563
3/9/2015,finishing,1,0.75,3.94,,0,960,0.0,0,0,8.0,0.794566667
2/18/2015,finishing,4,0.75,5.13,,960,0,0.0,0,0,8.0,0.734645833
1/12/2015,sweing,3,0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.800273829
2/4/2015,finishing,9,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667
1/27/2015,finishing ,2,0.75,3.94,,1200,0,0.0,0,0,10.0,0.788
2/14/2015,finishing,12,0.8,4.08,,1080,0,0.0,0,0,9.0,0.800888889
3/11/2015,sweing,5,0.7,26.82,992.0,6960,30,0.0,0,1,58.0,0.700556897
1/18/2015,finishing ,10,0.7,3.94,,1440,0,0.0,0,0,8.0,0.235795455
1/17/2015,sweing,1,0.8,48.68,171.0,10620,63,0.0,0,0,59.0,0.800117103
2/18/2015,sweing,12,0.8,15.26,1095.0,4080,63,0.0,0,0,34.0,0.800401961
2/26/2015,finishing,12,0.8,4.6,,3780,0,0.0,0,0,9.0,0.590617284
1/3/2015,sweing,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288
2/2/2015,sweing,6,0.7,18.79,2984.0,3960,30,0.0,0,0,33.0,0.700354545
2/7/2015,sweing,11,0.75,10.05,677.0,3240,45,0.0,0,0,27.0,0.750027778
2/19/2015,finishing,5,0.75,5.13,,1920,0,0.0,0,0,8.0,0.631354167
1/11/2015,finishing ,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.597348485
1/7/2015,sweing,8,0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766
2/5/2015,sweing,6,0.7,18.79,766.0,2760,30,0.0,0,0,33.0,0.700079032
2/17/2015,finishing,6,0.8,2.9,,960,0,0.0,0,0,8.0,0.749166667
3/9/2015,sweing,4,0.75,26.82,1079.0,7020,65,0.0,0,0,58.0,0.850446154
2/19/2015,sweing,10,0.7,19.68,1410.0,5760,0,0.0,0,1,48.0,0.249416667
1/3/2015,finishing ,3,0.75,3.94,,1560,0,0.0,0,0,8.0,0.945277778
2/28/2015,finishing,10,0.7,2.9,,3360,0,0.0,0,0,8.0,0.410833333
3/3/2015,finishing,12,0.8,4.6,,3780,0,0.0,0,0,9.0,0.636049383
3/7/2015,finishing,12,0.8,4.6,,1080,0,0.0,0,0,9.0,0.868888889
2/24/2015,finishing,9,0.7,2.9,,1800,0,0.0,0,0,15.0,0.726933333
2/25/2015,sweing,7,0.8,30.1,786.0,7080,50,0.0,0,2,59.0,0.800115819
1/6/2015,sweing,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466
1/13/2015,sweing,7,0.8,25.9,1126.0,10170,60,0.0,0,0,56.5,0.850136766
2/19/2015,sweing,3,0.7,30.1,247.0,6960,50,0.0,0,1,58.0,0.700603448
2/1/2015,finishing ,6,0.6,2.9,,1200,0,0.0,0,0,10.0,0.314166667
3/2/2015,sweing,10,0.7,21.82,1511.0,3600,30,0.0,0,0,51.0,0.70013604
1/20/2015,sweing,8,0.8,25.9,1434.0,10170,50,0.0,0,0,56.5,0.800128721
2/18/2015,sweing,8,0.65,29.4,962.0,4560,0,4.5,30,2,57.0,0.251399254
2/9/2015,sweing,2,0.8,22.52,1413.0,360,70,0.0,0,0,57.0,0.900477825
1/24/2015,sweing,9,0.6,29.12,925.0,6660,23,0.0,0,0,58.0,0.600125217
2/9/2015,finishing,8,0.35,4.15,,1800,0,0.0,0,0,15.0,0.707111111
2/17/2015,finishing,2,0.8,5.13,,1800,0,0.0,0,0,15.0,0.5814
1/31/2015,sweing,7,0.7,23.54,1109.0,6720,0,0.0,0,0,56.0,0.388830357
3/7/2015,sweing,9,0.75,18.79,1226.0,3480,45,0.0,0,0,51.0,0.749987124
1/11/2015,finishing ,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.828295455
3/11/2015,finishing,6,0.7,2.9,,720,0,0.0,0,0,6.0,0.394722222
1/5/2015,sweing,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800318644
2/24/2015,sweing,2,0.7,30.33,408.0,1680,30,0.0,0,1,59.0,0.700623
3/3/2015,sweing,9,0.75,18.79,1096.0,6240,34,0.0,0,0,52.0,0.750395513
2/3/2015,sweing,4,0.8,22.52,340.0,5460,63,0.0,0,0,56.5,0.800434622
